physics,gw_on,initial_stable,stability_ratio,stability_ratio_crit,merged,merger_time_yr,max_e_in,min_r_in_au,final_a_in_au,final_e_in,t_end_yr,status,m1,m2,m3,a_in,e_in,a_out,e_out,inc_out_deg,Omega_in_deg,omega_in_deg,f_in_deg,Omega_out_deg,omega_out_deg,f_out_deg
Newtonian,1,1,30.0,5.618557927205626,0,,0.8335702414867675,0.06649512708149397,0.19570095312401956,0.5578839593202864,10000.0,completed,30.0,20.0,10.0,0.2,0.1,6.0,0.4,70.0,278.6241774801468,157.99623831073885,309.09525116809766,251.052490461371,33.90384523955383,351.22404658923216
PN,1,1,30.0,5.618557927205626,0,,0.9077418008963433,0.044669834272466034,0.5576485078733495,0.7927393438131072,10000.0,completed,30.0,20.0,10.0,0.2,0.1,6.0,0.4,70.0,278.6241774801468,157.99623831073885,309.09525116809766,251.052490461371,33.90384523955383,351.22404658923216
Newtonian,1,1,30.0,5.618557927205626,0,,0.8239377416552432,0.05912216921988511,0.1974180549933461,0.23688558550402242,10000.0,completed,30.0,20.0,10.0,0.2,0.1,6.0,0.4,70.0,274.0102927165271,282.9831498997034,46.12090776319651,162.13893764240416,133.48728872372925,333.63539598549664
PN,1,1,30.0,5.618557927205626,0,,0.7826119502326823,0.06889590643000106,0.24502993352000474,0.45701495520786567,10000.0,completed,30.0,20.0,10.0,0.2,0.1,6.0,0.4,70.0,274.0102927165271,282.9831498997034,46.12090776319651,162.13893764240416,133.48728872372925,333.63539598549664
Newtonian,1,1,30.0,5.618557927205626,0,,0.82463030716387,0.04049407747515636,0.19649161034873158,0.39855639175516683,10000.0,completed,30.0,20.0,10.0,0.2,0.1,6.0,0.4,70.0,231.79144322903923,296.1941807774988,159.6291115778392,81.80593984251968,199.65052332570053,22.974212197503117
PN,1,1,30.0,5.618557927205626,0,,0.7065825815972634,0.07038330476098015,0.20986239333259613,0.5053880531886856,10000.0,completed,30.0,20.0,10.0,0.2,0.1,6.0,0.4,70.0,231.79144322903923,296.1941807774988,159.6291115778392,81.80593984251968,199.65052332570053,22.974212197503117
Newtonian,1,1,30.0,5.618557927205626,0,,0.8280264037582182,0.0664611425105066,0.19546366523419925,0.18264213876752236,10000.0,completed,30.0,20.0,10.0,0.2,0.1,6.0,0.4,70.0,297.94722191732956,227.39918368394333,272.9115864307346,127.62934852675261,349.4512887821652,321.5236036759912
PN,1,1,30.0,5.618557927205626,0,,0.7035283977122904,0.07110996441808294,0.22054136376844946,0.5023566505443029,10000.0,completed,30.0,20.0,10.0,0.2,0.1,6.0,0.4,70.0,297.94722191732956,227.39918368394333,272.9115864307346,127.62934852675261,349.4512887821652,321.5236036759912
Newtonian,1,1,30.0,5.618557927205626,0,,0.8271789420630976,0.04364917781641906,0.1950629481012594,0.29826220140558884,10000.0,completed,30.0,20.0,10.0,0.2,0.1,6.0,0.4,70.0,280.21805894655427,70.06993482670833,168.0195613417323,15.76935568340236,55.544217144317216,245.89762316728365
PN,1,1,30.0,5.618557927205626,0,,0.6666831909542128,0.06695983421483469,0.1923708208979769,0.19492391680677776,10000.0,completed,30.0,20.0,10.0,0.2,0.1,6.0,0.4,70.0,280.21805894655427,70.06993482670833,168.0195613417323,15.76935568340236,55.544217144317216,245.89762316728365
Newtonian,1,1,30.0,5.40653687334881,1,468.2274247491639,0.9860679795881212,0.12981221147478475,0.19981831023168678,0.9860679795881212,468.2274247491639,merged_fast_GW,30.0,20.0,10.0,0.2,0.1,6.0,0.4,90.0,268.1143761268142,348.3035036763156,117.2971289297347,133.3654941725528,169.04009205929086,68.20968927034285
PN,1,1,30.0,5.40653687334881,0,,0.9474139686288202,0.07821471765188165,1.871838826316659,0.9474139686288202,1337.7926421404682,left_hierarchical_regime,30.0,20.0,10.0,0.2,0.1,6.0,0.4,90.0,268.1143761268142,348.3035036763156,117.2971289297347,133.3654941725528,169.04009205929086,68.20968927034285
Newtonian,1,1,30.0,5.40653687334881,1,1304.347826086957,0.984154550732172,0.07062363522298569,0.19927628370612635,0.984154550732172,1304.347826086957,merged_fast_GW,30.0,20.0,10.0,0.2,0.1,6.0,0.4,90.0,46.77174192076979,171.25377344133614,81.68736565831828,241.13303808570373,157.37469079403905,299.7641505808215
PN,1,1,30.0,5.40653687334881,0,,1.8542848597036696,0.09114578930052089,-0.7538304217301567,1.8542848597036696,802.6755852842809,left_hierarchical_regime,30.0,20.0,10.0,0.2,0.1,6.0,0.4,90.0,46.77174192076979,171.25377344133614,81.68736565831828,241.13303808570373,157.37469079403905,299.7641505808215
Newtonian,1,1,30.0,5.40653687334881,1,2608.695652173914,0.9875493682793947,0.03905037913257076,0.19752246287821165,0.9875493682793947,2608.695652173914,merged_fast_GW,30.0,20.0,10.0,0.2,0.1,6.0,0.4,90.0,252.0954367208097,112.45199089753478,299.6135285022724,289.7151686988487,139.4922164508628,103.79811741488788
PN,1,1,30.0,5.40653687334881,0,,0.9885948668084902,0.12449743762783778,1.3922930095092445,0.9885948668084902,334.44816053511704,left_hierarchical_regime,30.0,20.0,10.0,0.2,0.1,6.0,0.4,90.0,252.0954367208097,112.45199089753478,299.6135285022724,289.7151686988487,139.4922164508628,103.79811741488788
Newtonian,1,1,30.0,5.40653687334881,1,1170.5685618729099,0.9859558184086357,0.10103584621773165,0.19894020471284596,0.9859558184086357,1170.5685618729099,merged_fast_GW,30.0,20.0,10.0,0.2,0.1,6.0,0.4,90.0,245.6983814309912,50.31089409935153,71.966952891039,2.6504171103619845,283.2927759007698,239.34630837313156
PN,1,1,30.0,5.40653687334881,0,,1.1328539218151006,0.03230914843927607,-0.07857755735828258,1.1328539218151006,903.0100334448161,left_hierarchical_regime,30.0,20.0,10.0,0.2,0.1,6.0,0.4,90.0,245.6983814309912,50.31089409935153,71.966952891039,2.6504171103619845,283.2927759007698,239.34630837313156
Newtonian,1,1,30.0,5.40653687334881,1,1505.016722408027,0.9861684436299986,0.07008429149896216,0.1983823065347289,0.9861684436299986,1505.016722408027,merged_fast_GW,30.0,20.0,10.0,0.2,0.1,6.0,0.4,90.0,253.85953630548065,281.0624511679084,165.20967919380237,204.74683054304174,50.32691932595668,41.23082647295044
PN,1,1,30.0,5.40653687334881,0,,0.9648986835668978,0.048908717333599964,1.520931070264261,0.9567970521975774,1438.1270903010036,left_hierarchical_regime,30.0,20.0,10.0,0.2,0.1,6.0,0.4,90.0,253.85953630548065,281.0624511679084,165.20967919380237,204.74683054304174,50.32691932595668,41.23082647295044
Newtonian,1,1,30.0,5.194515819491994,0,,0.9611452053935705,0.029003767245422172,0.19701001972694934,0.941191460666385,10000.0,completed,30.0,20.0,10.0,0.2,0.1,6.0,0.4,110.0,240.62506624456978,169.5946342115277,203.48499833322796,275.39958866976923,228.4985952002127,199.2885842368785
PN,1,1,30.0,5.194515819491994,0,,0.9647272733405953,0.15156220209544854,1.3708460082607246,0.8468845599733152,1137.123745819398,left_hierarchical_regime,30.0,20.0,10.0,0.2,0.1,6.0,0.4,110.0,240.62506624456978,169.5946342115277,203.48499833322796,275.39958866976923,228.4985952002127,199.2885842368785
Newtonian,1,1,30.0,5.194515819491994,0,,0.9609756242379981,0.008389370957367437,0.19577775790192015,0.24190529944716122,10000.0,completed,30.0,20.0,10.0,0.2,0.1,6.0,0.4,110.0,201.31457786834886,109.4220353025404,11.094420444458187,157.21826012365045,77.25048221503052,147.07031174086902
PN,1,1,30.0,5.194515819491994,0,,0.9806591427080991,0.042220005771126924,0.9777195932936044,0.9806591427080991,8729.096989966554,left_hierarchical_regime,30.0,20.0,10.0,0.2,0.1,6.0,0.4,110.0,201.31457786834886,109.4220353025404,11.094420444458187,157.21826012365045,77.25048221503052,147.07031174086902
Newtonian,1,1,30.0,5.194515819491994,0,,0.9610619338062142,0.05766323161365931,0.19638814975950872,0.8763293539595651,10000.0,completed,30.0,20.0,10.0,0.2,0.1,6.0,0.4,110.0,307.2251063765398,84.21821491152267,20.988987008063766,101.29820112791876,105.6937527960061,238.28994530168222
PN,1,1,30.0,5.194515819491994,0,,0.9523291610039913,0.040436539163208406,0.8379767050447486,0.9316597266628351,4481.605351170569,left_hierarchical_regime,30.0,20.0,10.0,0.2,0.1,6.0,0.4,110.0,307.2251063765398,84.21821491152267,20.988987008063766,101.29820112791876,105.6937527960061,238.28994530168222
Newtonian,1,1,30.0,5.194515819491994,0,,0.960249433046524,0.029078181439507363,0.19557073610708026,0.05888603231745732,10000.0,completed,30.0,20.0,10.0,0.2,0.1,6.0,0.4,110.0,200.5315748428602,282.20335527830883,239.15287451785952,146.2992701184254,293.04733847977246,60.11025116677341
PN,1,1,30.0,5.194515819491994,0,,0.8119626932507825,0.047459729019948334,0.15984181794792038,0.5104818890100274,10000.0,completed,30.0,20.0,10.0,0.2,0.1,6.0,0.4,110.0,200.5315748428602,282.20335527830883,239.15287451785952,146.2992701184254,293.04733847977246,60.11025116677341
Newtonian,1,1,30.0,5.194515819491994,0,,0.9602795626263059,0.03746935004203937,0.19981558386838763,0.4767182744985892,10000.0,completed,30.0,20.0,10.0,0.2,0.1,6.0,0.4,110.0,8.176346328189773,32.41722987923103,260.0493662147221,166.27580289049945,58.05784045209664,180.37611903721088
PN,1,1,30.0,5.194515819491994,0,,0.9035693709626581,0.05866905707376905,0.14567419224601497,0.6810197660016737,10000.0,completed,30.0,20.0,10.0,0.2,0.1,6.0,0.4,110.0,8.176346328189773,32.41722987923103,260.0493662147221,166.27580289049945,58.05784045209664,180.37611903721088
Newtonian,1,1,40.0,5.618557927205626,0,,0.8448360351285122,0.06122300134555942,0.19630811288708383,0.3610251946867224,10000.0,completed,30.0,20.0,10.0,0.2,0.1,8.0,0.4,70.0,54.83235697674063,250.67533502798497,160.61625920665105,137.1676413947337,108.54435209323555,226.90173352279984
PN,1,1,40.0,5.618557927205626,0,,0.7614209179778195,0.07537982765317659,0.22148357204329275,0.7368291278876515,10000.0,completed,30.0,20.0,10.0,0.2,0.1,8.0,0.4,70.0,54.83235697674063,250.67533502798497,160.61625920665105,137.1676413947337,108.54435209323555,226.90173352279984
Newtonian,1,1,40.0,5.618557927205626,0,,0.8369829907391781,0.03687191403146676,0.19559695213098563,0.2670780418425232,10000.0,completed,30.0,20.0,10.0,0.2,0.1,8.0,0.4,70.0,130.25253979922056,31.55397095379636,42.482124763385514,346.2831592378252,327.0890486547385,251.89456817186985
PN,1,1,40.0,5.618557927205626,0,,0.33288510213481765,0.13736768820878437,0.1967220210354478,0.21158783060238406,10000.0,completed,30.0,20.0,10.0,0.2,0.1,8.0,0.4,70.0,130.25253979922056,31.55397095379636,42.482124763385514,346.2831592378252,327.0890486547385,251.89456817186985
Newtonian,1,1,40.0,5.618557927205626,0,,0.8384283440185777,0.050283519765644,0.1963440452046425,0.0800447741957042,10000.0,completed,30.0,20.0,10.0,0.2,0.1,8.0,0.4,70.0,95.71318612542704,348.9034958451806,280.3503254276861,258.0804680972384,161.77014077176392,98.00696226425725
PN,1,1,40.0,5.618557927205626,0,,0.32661196302897433,0.13435518202609403,0.19668935214471378,0.245466904243893,10000.0,completed,30.0,20.0,10.0,0.2,0.1,8.0,0.4,70.0,95.71318612542704,348.9034958451806,280.3503254276861,258.0804680972384,161.77014077176392,98.00696226425725
Newtonian,1,1,40.0,5.618557927205626,0,,0.8384280634655735,0.052748969734579765,0.1979734435757897,0.05440177338448995,10000.0,completed,30.0,20.0,10.0,0.2,0.1,8.0,0.4,70.0,34.70074637525975,324.936862755783,164.07946434009997,72.85081132628291,110.1443846942349,208.51904481908255
PN,1,1,40.0,5.618557927205626,0,,0.15511220594829836,0.1700277937512092,0.1969225017788451,0.03621518502141085,10000.0,completed,30.0,20.0,10.0,0.2,0.1,8.0,0.4,70.0,34.70074637525975,324.936862755783,164.07946434009997,72.85081132628291,110.1443846942349,208.51904481908255
Newtonian,1,1,40.0,5.618557927205626,0,,0.8342343731739195,0.034007510946444414,0.1969580475040424,0.2233583970211292,10000.0,completed,30.0,20.0,10.0,0.2,0.1,8.0,0.4,70.0,63.638201858123416,308.3811422732552,273.06703074067565,259.00666414233723,155.55349431903733,225.83118265287956
PN,1,1,40.0,5.618557927205626,0,,0.20139117963360886,0.16155361748812708,0.1971794707553164,0.17533414943237893,10000.0,completed,30.0,20.0,10.0,0.2,0.1,8.0,0.4,70.0,63.638201858123416,308.3811422732552,273.06703074067565,259.00666414233723,155.55349431903733,225.83118265287956
Newtonian,1,1,40.0,5.40653687334881,1,1003.3444816053513,0.9886431973900387,0.049213721908584036,0.199307206248642,0.9886431973900387,1003.3444816053513,merged_fast_GW,30.0,20.0,10.0,0.2,0.1,8.0,0.4,90.0,210.2752688085848,233.9447765597352,30.399955610360074,149.69066478141946,14.981102590281292,177.83669492802682
PN,1,1,40.0,5.40653687334881,0,,0.9854535830832828,0.09779804456595473,6.925645930962216,0.9854535830832828,8394.648829431437,left_hierarchical_regime,30.0,20.0,10.0,0.2,0.1,8.0,0.4,90.0,210.2752688085848,233.9447765597352,30.399955610360074,149.69066478141946,14.981102590281292,177.83669492802682
Newtonian,1,1,40.0,5.40653687334881,1,1772.5752508361206,0.9888062488414906,0.10364264770496566,0.19923474503981892,0.9888062488414906,1772.5752508361206,merged_fast_GW,30.0,20.0,10.0,0.2,0.1,8.0,0.4,90.0,118.75003643980271,52.02870799177688,37.22506838011859,211.55204598397634,61.413468673279,333.043242615647
PN,1,1,40.0,5.40653687334881,0,,0.6977483597804965,0.08113453052403355,0.1909889367998488,0.4530951790528457,10000.0,completed,30.0,20.0,10.0,0.2,0.1,8.0,0.4,90.0,118.75003643980271,52.02870799177688,37.22506838011859,211.55204598397634,61.413468673279,333.043242615647
Newtonian,1,1,40.0,5.40653687334881,1,1438.1270903010036,0.9889582493217515,0.1140610328810198,0.19933218620221746,0.9889582493217515,1438.1270903010036,merged_fast_GW,30.0,20.0,10.0,0.2,0.1,8.0,0.4,90.0,209.1820102921422,124.87312963254135,212.72957693331003,8.209393570691098,345.08131676692034,173.62923729944407
PN,1,1,40.0,5.40653687334881,0,,0.5302801326313462,0.09512820483153962,0.19547716870095797,0.43417976465310315,10000.0,completed,30.0,20.0,10.0,0.2,0.1,8.0,0.4,90.0,209.1820102921422,124.87312963254135,212.72957693331003,8.209393570691098,345.08131676692034,173.62923729944407
Newtonian,1,1,40.0,5.40653687334881,1,1404.6822742474915,0.9896768456860462,0.05901083449908091,0.19922519107472697,0.9896768456860462,1404.6822742474915,merged_fast_GW,30.0,20.0,10.0,0.2,0.1,8.0,0.4,90.0,281.78468181010305,29.782799972077886,175.19699910173773,176.65451796762753,337.6175237909938,205.82209885538714
PN,1,1,40.0,5.40653687334881,0,,0.5000079128440974,0.1047291432947934,0.1957556149248542,0.44268973295422215,10000.0,completed,30.0,20.0,10.0,0.2,0.1,8.0,0.4,90.0,281.78468181010305,29.782799972077886,175.19699910173773,176.65451796762753,337.6175237909938,205.82209885538714
Newtonian,1,1,40.0,5.40653687334881,1,802.6755852842809,0.9841636811329558,0.08978484801287355,0.19965365872139035,0.9841636811329558,802.6755852842809,merged_fast_GW,30.0,20.0,10.0,0.2,0.1,8.0,0.4,90.0,170.45618438050337,96.11123871308169,119.36483904331878,187.4420648897536,158.0081257098168,7.780348756918953
PN,1,1,40.0,5.40653687334881,0,,0.47567900980986333,0.11262021770029636,0.19605311299326075,0.29278497459593844,10000.0,completed,30.0,20.0,10.0,0.2,0.1,8.0,0.4,90.0,170.45618438050337,96.11123871308169,119.36483904331878,187.4420648897536,158.0081257098168,7.780348756918953
Newtonian,1,1,40.0,5.194515819491994,0,,0.9528086452665359,0.04098442388808969,0.19631106830012432,0.3415118709492135,10000.0,completed,30.0,20.0,10.0,0.2,0.1,8.0,0.4,110.0,297.4650927099688,322.617877862316,50.48967203949988,199.4530116740578,39.08726680875968,242.0064334943322
PN,1,1,40.0,5.194515819491994,0,,0.3421434009053954,0.13367902593492006,0.19657929366649857,0.12380125141395314,10000.0,completed,30.0,20.0,10.0,0.2,0.1,8.0,0.4,110.0,297.4650927099688,322.617877862316,50.48967203949988,199.4530116740578,39.08726680875968,242.0064334943322
Newtonian,1,1,40.0,5.194515819491994,0,,0.9528584200843083,0.045598532790155355,0.1976452836906722,0.9210309336497947,10000.0,completed,30.0,20.0,10.0,0.2,0.1,8.0,0.4,110.0,101.244162182043,237.39214848908463,261.71806114327774,276.71309709035654,38.786740544122765,329.7642642495388
PN,1,1,40.0,5.194515819491994,0,,0.2868178552145515,0.1515307395489898,0.19655851126937218,0.054252076285460915,10000.0,completed,30.0,20.0,10.0,0.2,0.1,8.0,0.4,110.0,101.244162182043,237.39214848908463,261.71806114327774,276.71309709035654,38.786740544122765,329.7642642495388
Newtonian,1,1,40.0,5.194515819491994,0,,0.95127914381046,0.08474087547810245,0.19756258853344427,0.08520899309903726,10000.0,completed,30.0,20.0,10.0,0.2,0.1,8.0,0.4,110.0,82.8770367221571,13.46852022342472,199.74688898093402,133.53202219047796,298.7243075276687,290.9705299431487
PN,1,1,40.0,5.194515819491994,0,,0.3457561773930217,0.13064351296420712,0.1964259317183752,0.19095629537818512,10000.0,completed,30.0,20.0,10.0,0.2,0.1,8.0,0.4,110.0,82.8770367221571,13.46852022342472,199.74688898093402,133.53202219047796,298.7243075276687,290.9705299431487
Newtonian,1,1,40.0,5.194515819491994,0,,0.9502675522785572,0.018692696684266333,0.19574742412452314,0.6132690980069557,10000.0,completed,30.0,20.0,10.0,0.2,0.1,8.0,0.4,110.0,114.17000141617753,343.0437822251082,104.7304217304427,185.42056652341722,92.14743260433698,336.9756852176268
PN,1,1,40.0,5.194515819491994,0,,0.09931063068778152,0.18088848995492696,0.19686812932852008,0.04730875644531274,10000.0,completed,30.0,20.0,10.0,0.2,0.1,8.0,0.4,110.0,114.17000141617753,343.0437822251082,104.7304217304427,185.42056652341722,92.14743260433698,336.9756852176268
Newtonian,1,1,40.0,5.194515819491994,0,,0.9515411469139126,0.015671028053428047,0.19656893416703142,0.41465093227462746,10000.0,completed,30.0,20.0,10.0,0.2,0.1,8.0,0.4,110.0,59.25881432952653,16.167822981238437,156.63494160109366,357.25520306010134,321.00381585176905,269.49888700450174
PN,1,1,40.0,5.194515819491994,0,,0.21073273106182083,0.1590436665151425,0.19665012958912054,0.057532217934922164,10000.0,completed,30.0,20.0,10.0,0.2,0.1,8.0,0.4,110.0,59.25881432952653,16.167822981238437,156.63494160109366,357.25520306010134,321.00381585176905,269.49888700450174
